".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","Part"
"DW_Shoot","Control","Pilo",19,21,142,0.124,0.744,"ns","Shoot"
"DW_Shoot","Control","Ceno",19,24,328,0.015,0.09,"ns","Shoot"
"DW_Shoot","Control","Co_Inoc",19,23,282,0.112,0.672,"ns","Shoot"
"DW_Shoot","Pilo","Ceno",21,24,479,2.56e-07,1.536e-06,"****","Shoot"
"DW_Shoot","Pilo","Co_Inoc",21,23,400,0.000103,0.000618,"***","Shoot"
"DW_Shoot","Ceno","Co_Inoc",24,23,201,0.113,0.678,"ns","Shoot"
"DW_Roots_Total","Control","Pilo",19,21,115.5,0.024,0.144,"ns","Root"
"DW_Roots_Total","Control","Ceno",19,24,291,0.127,0.762,"ns","Root"
"DW_Roots_Total","Control","Co_Inoc",19,23,246,0.495,1,"ns","Root"
"DW_Roots_Total","Pilo","Ceno",21,24,430.5,5.13e-05,0.0003078,"***","Root"
"DW_Roots_Total","Pilo","Co_Inoc",21,23,373,0.002,0.012,"*","Root"
"DW_Roots_Total","Ceno","Co_Inoc",24,23,252,0.62,1,"ns","Root"
